movie_title,voice-actor,character
Snow White and the Seven Dwarfs,"['Scotty Mattraw', 'Roy Atwell', 'Eddie Collins', 'Pinto Colvig', 'Otis Harlan', 'Stuart Buchanan', 'Moroni Olsen', 'Harry Stockwell', 'Lucille La Verne', 'Pinto Colvig', 'Billy Gilbert', 'Adriana Caselotti']","['Bashful', 'Doc', 'Dopey', 'Grumpy', 'Happy', 'Humbert the Huntsman', 'The Magic Mirror', 'Prince', 'Queen Grimhilde', 'Sleepy', 'Sneezy', 'Snow White']"
Sofia the First,"['Tim Gunn', 'Jess Harnell', 'Wayne Brady', 'Travis Willingham', 'Megan Mullally', 'Zach Callison', 'Darcy Rose Byrnes', 'Sara Ramirez', 'Ariel Winter', 'Jim Cummings']","['Baileywick', 'Cedric the Sorcerer', 'Clover', 'King Roland II', 'Miss Nettle', 'Prince James', 'Princess Amber', 'Queen Miranda', 'Princess Sofia', 'Wormwood the Raven']"
Song of the South,"['Nick Stewart', 'James Baskett', 'Johnny Lee']","[""Br'er Bear"", ""Br'er Fox"", ""Br'er Rabbit""]"
Steamboat Willie,['Walt Disney'],['Mickey Mouse']
Stitch! The Movie,['Jeff Bennett'],['Dr. Jacques von Hamsterviel']
TaleSpin,"['Jim Cummings', 'R. J. Williams; Alan Roberts']","['Don Karnage', 'Kit Cloudkicker']"
Tangled,"['Zachary Levi', 'Brad Garrett', 'None', 'Donna Murphy', 'Frank Welker', 'Mandy Moore', 'Ron Perlman']","['Flynn Rider', 'Hook Hand', 'Maximus', 'Mother Gothel', 'Pascal', 'Rapunzel', 'Stabbington Brothers']"
Tangled Ever After,['Kari Wahlgren'],['Queen']
Tarzan,"['Nigel Hawthorne', 'Brian Blessed', 'Minnie Driver', 'Glenn Close', 'Lance Henriksen', 'Jason Marsden', 'Wayne Knight', 'Tony Goldwyn', 'Alex D. Linz', ""Rosie O'Donnell""]","['Archimedes Q. Porter', 'Clayton', 'Jane Porter', 'Kala', 'Kerchak', 'Mungo', 'Tantor', 'Tarzan', 'Tarzan', 'Terk']"
The Adventures of Ichabod and Mr. Toad,"['Campbell Grant', ""J. Pat O'Malley"", 'None', 'Pinto Colvig', 'Eric Blore', 'None', 'Colin Campbell', 'Claud Allister', 'Oliver Wallace']","['Angus MacBadger', 'Cyril Proudbottom', 'Headless Horseman', 'Ichabod Crane', 'J. Thaddeus Toad', 'Katrina Van Tassel', 'Moley', 'Ratty', 'Winkie the Barman']"
