movie_title,character
Timon and Pumbaa,"['Boss Beaver', 'Cheetata and Cheetato', 'Fred', 'Natives', 'Quint', 'Smolder the Bear', 'Speedy the Snail', 'Vulture Police']"
Tinker Bell and the Great Fairy Rescue,['Lizzy Griffths']
Tinker Bell and the Lost Treasure,['Blaze']
Treasure Planet,"['B.E.N.', 'Billy Bones', 'Captain Amelia', 'Dr. Doppler', 'Hands', 'Jim Hawkins', 'John Silver', 'Morph', 'Mr. Arrow', 'Onus', 'Sarah Hawkins', 'Scroop']"
Trolley Troubles,['Oswald the Lucky Rabbit']
Who Framed Roger Rabbit,"['Baby Herman', 'Baby Herman', 'Benny the Cab', 'Greasy the Weasel', 'Jessica Rabbit', 'Judge Doom', 'Psycho the Weasel', 'Roger Rabbit', 'Smarty the Weasel', 'Stupid the Weasel', 'Wheezy the Weasel']"
Winnie the Pooh and the Blustery Day,"['Piglet', 'Tigger']"
Winnie the Pooh and the Honey Tree,"['Christopher Robin', 'Eeyore', 'Gopher', 'Kanga', 'Owl', 'Rabbit', 'Roo', 'Roo', 'Winnie the Pooh']"
Wreck-It Ralph,"['Adorabeezle Winterpop', 'Candlehead', 'Crumbelina DiCaramello', 'Duncan', 'Fix-It Felix Jr.', 'General Hologram', 'Gloyd Orangeboar', 'Jubileena Bing-Bing', 'King Candy/Turbo', 'Mr. Litwak', 'Markowski', 'Minty Zaki', 'Rancis Fluggerbutter', 'Sergeant Calhoun', 'Snowanna Rainbeau', 'Sour Bill', 'Swizzle ""The Swizz"" Malarkey', 'Taffyta Muttonfudge', 'Vanellope von Schweetz', 'Wreck-It Ralph', 'Wynchel']"
Zootopia,"['Assistant Mayor Dawn Bellwether', 'Benjamin Clawhauser', 'Bonnie Hopps', 'Bucky Oryx-Antlerson', 'Chief Bogo', 'Doug Ramses', 'Duke Weaselton', 'Emmitt Otterton', 'Finnick', 'Flash Slothmore', 'Gazelle', 'Jerry Jumbeaux Jr.', 'Jesse the Ram', 'Judy Hopps', 'Mayor Lionheart', 'Mr. Big', 'Mrs. Otterton', 'Nicholas ""Nick"" P. Wilde', 'Pronk Oryx-Antlerson', 'Stu Hopps', 'Woolter the Ram', 'Yax']"
