movie_title,voice-actor
Return to Never Land,"['Andrew McDonough', 'Roger Rees', 'Harriet Owen', 'Frank Welker']"
Robin Hood,"['Roger Miller', 'Andy Devine', 'Peter Ustinov', 'Carole Shelley', 'Phil Harris', 'Monica Evans', 'Barbara Luddy', 'Ken Curtis', ""J. Pat O'Malley"", 'Peter Ustinov', 'Brian Bedford', 'Pat Buttram', 'Terry-Thomas', 'Dana Laurita', 'Billy Whittaker', 'Dori Whittaker', 'Richie Sanders', 'George Lindsey']"
Saludos Amigos,['José Oliveira; Rob Paulsen']
Secret of the Wings,"['Grey Delisle', 'Lucy Hale']"
Sheep Dog,['Unknown']
Silly Symphonies,"['None', 'None', 'Milt Kahl', 'Martha Wentworth', 'Pinto Colvig', 'None', 'Alyce Ardell']"
Snow White and the Seven Dwarfs,"['Scotty Mattraw', 'Roy Atwell', 'Eddie Collins', 'Pinto Colvig', 'Otis Harlan', 'Stuart Buchanan', 'Moroni Olsen', 'Harry Stockwell', 'Lucille La Verne', 'Pinto Colvig', 'Billy Gilbert', 'Adriana Caselotti']"
Sofia the First,"['Tim Gunn', 'Jess Harnell', 'Wayne Brady', 'Travis Willingham', 'Megan Mullally', 'Zach Callison', 'Darcy Rose Byrnes', 'Sara Ramirez', 'Ariel Winter', 'Jim Cummings']"
Song of the South,"['Nick Stewart', 'James Baskett', 'Johnny Lee']"
Steamboat Willie,['Walt Disney']
Stitch! The Movie,['Jeff Bennett']
TaleSpin,"['Jim Cummings', 'R. J. Williams; Alan Roberts']"
Tangled,"['Zachary Levi', 'Brad Garrett', 'None', 'Donna Murphy', 'Frank Welker', 'Mandy Moore', 'Ron Perlman']"
Tangled Ever After,['Kari Wahlgren']
Tarzan,"['Nigel Hawthorne', 'Brian Blessed', 'Minnie Driver', 'Glenn Close', 'Lance Henriksen', 'Jason Marsden', 'Wayne Knight', 'Tony Goldwyn', 'Alex D. Linz', ""Rosie O'Donnell""]"
The Adventures of Ichabod and Mr. Toad,"['Campbell Grant', ""J. Pat O'Malley"", 'None', 'Pinto Colvig', 'Eric Blore', 'None', 'Colin Campbell', 'Claud Allister', 'Oliver Wallace']"
The Aristocats,"['Monica Evans', 'Carole Shelley', 'Dean Clark', 'Thurl Ravenscroft', 'Eva Gabor', 'Roddy Maude-Roxby', 'Nancy Kulp', 'Charles Lane', 'Lord Tim Hudson', 'George Lindsey', 'Hermione Baddeley', 'Liz English', 'Pat Buttram', 'Vito Scotti', 'Sterling Holloway', 'Scatman Crothers', 'Paul Winchell', 'Phil Harris', 'Gary Dubin', 'Bill Thompson']"
The Black Cauldron,"['Phil Fondacaro', 'Freddie Jones', 'John Byner', 'Nigel Hawthorne', 'John Byner', 'None', 'John Hurt', 'Arthur Malet', 'Eda Reiss Merin', 'Billie Hayes', 'Adele Malis-Morey', 'Susan Sheridan', 'Grant Bardsley']"
The Chain Gang,['Pinto Colvig; Bill Farmer']
The Country Bears,"['Haley Joel Osment', 'James Gammon', 'Justin Berfield', 'Diedrich Bader']"
The Emperor's New Groove,"['Bob Bergen', 'Kellyann Kelso', 'Wendie Malick', 'Patrick Warburton', 'David Spade', 'John Goodman', 'Eli Russell Linnetz', 'Eartha Kitt']"
The Emperor's New School,['Jessica Di Cicco']
The Fox and the Hound,"['Jack Albertson', 'Pearl Bailey', 'Paul Winchell', 'Pat Buttram', 'Corey Feldman; Kurt Russell', 'Richard Bakalyan', 'None', 'Keith Coogan; Mickey Rooney', 'Sandy Duncan', 'Jeanette Nolan']"
The Fox and the Hound 2,"['Patrick Swayze', 'Reba McEntire', 'Vicki Lawrence', 'Jeff Foxworthy']"
The Great Mouse Detective,"['Barrie Ingham', 'Barrie Ingham', 'Val Bettin', 'Frank Welker', 'Candy Candido', 'Alan Young; Alan Young', 'Shani Wallis', 'Melissa Manchester', 'Diana Chesney', 'Susanne Pollatschek', 'Vincent Price', 'Eve Brenner', 'Frank Welker']"
The Hunchback of Notre Dame,"['None', 'David Ogden Stiers', 'Kevin Kline', 'Paul Kandel', 'None', 'Demi Moore', 'Jason Alexander', 'Tony Jay', 'Mary Wickes', 'Tom Hulce', 'Charles Kimbrough']"
The Hunchback of Notre Dame II,"['April Winchell', 'Jennifer Love Hewitt', 'Michael McKean', 'Haley Joel Osment']"
The Legend of Coyote Rock,['Unknown']
The Lion King 1½,"['Julie Kavner', 'Jerry Stiller']"
The Lion King II: Simba's Pride,"['Michelle Horn; Neve Campbell', ""Ryan O'Donohue; Jason Marsden"", 'Andy Dick', 'Lacey Chabert; Jennifer Lien', 'Suzanne Pleshette']"
